Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,RunInstances,DataTransfer-Out-Bytes,,05/01/22 13:00:00,05/01/22 14:00:00,49422
AmazonEC2,RunInstances,EUC1-C3DataTransfer-Out-Bytes,,05/01/22 13:00:00,05/01/22 14:00:00,920
AmazonEC2,RunInstances,DataTransfer-Out-Bytes,,05/01/22 17:00:00,05/01/22 18:00:00,104402
AmazonEC2,RunInstances,EUW3-C3DataTransfer-In-Bytes,,05/01/22 18:00:00,05/01/22 19:00:00,17352
AmazonEC2,CreateVolume-Gp2,CAN1-EBS:VolumeUsage.gp2,,05/01/22 02:00:00,05/01/22 03:00:00,483183820800
AmazonEC2,PublicIP-In,CAN1-USE1-AWS-In-Bytes,,05/01/22 20:00:00,05/01/22 21:00:00,3336
AmazonEC2,RunInstances,EUW3-C3DataTransfer-In-Bytes,,05/01/22 14:00:00,05/01/22 15:00:00,48066
AmazonEC2,RunInstances,EUW3-C3DataTransfer-Out-Bytes,,05/01/22 08:00:00,05/01/22 09:00:00,40190
AmazonEC2,PublicIP-Out,CAN1-USE1-AWS-Out-Bytes,,05/01/22 04:00:00,05/01/22 05:00:00,3084
AmazonEC2,EBS:Gp2-IO-Read,EBS:VolumeIOUsage.gp2,,05/01/22 03:00:00,05/01/22 04:00:00,12
AmazonEC2,RunInstances,EUW3-C3DataTransfer-Out-Bytes,,05/01/22 09:00:00,05/01/22 10:00:00,19681
AmazonEC2,RunInstances,CAN1-DataTransfer-Out-Bytes,,05/01/22 15:00:00,05/01/22 16:00:00,7898183
AmazonEC2,RunInstances,BoxUsage:t2.micro,,05/01/22 20:00:00,05/01/22 21:00:00,1
AmazonEC2,EBS:Gp2-IO-Write,EBS:VolumeIOUsage.gp2,,05/01/22 05:00:00,05/01/22 06:00:00,1948
AmazonEC2,RunInstances,DataTransfer-In-Bytes,,05/01/22 17:00:00,05/01/22 18:00:00,68241
AmazonEC2,CreateVolume-Gp2,EUC1-EBS:VolumeUsage.gp2,,05/01/22 01:00:00,05/01/22 02:00:00,32212254720
AmazonEC2,RunInstances,EUW3-DataTransfer-Out-Bytes,,05/01/22 05:00:00,05/01/22 06:00:00,46257174
